artist,status,performer_id,performer_name,performer_url,note
.cutspace,not_found,,,,
03 Greedo,not_found,,,,
100 gecs,followed,2439347,100 gecs,https://goout.net/en/100-gecs/pzwxcgg/,
1010benja,not_found,,,,
1100 Himself,not_found,,,,
12 Ensemble,not_found,,,,
12 Rods,not_found,,,,
163Margs & DeeOrSlim,not_found,,,,
1oneam,not_found,,,,
22º Halo,not_found,,,,
24kGoldn,followed,2476992,24kGoldn,https://goout.net/en/24kgoldn/pzrenig/,
2hollis,followed,2585823,2hollis,https://goout.net/en/2hollis/pzxhmpg/,
2nd Grade,not_found,,,,
3doly,not_found,,,,
41,followed,11553,Sum 41,https://goout.net/en/sum-41/pzdms/,
41,followed,11553,Sum 41,https://goout.net/en/sum-41/pzdms/,
454 & Pig the Gemini,not_found,,,,
49th & Main,followed,2564281,49th & Main,https://goout.net/en/49th-and-main/pzgvcog/,
509 BMG,not_found,,,,
58G,followed,2458245,58G,https://goout.net/en/58g/pzueihg/,
84 Tigers,not_found,,,,
8485 & Danny Brown,not_found,,,,
96 Back,not_found,,,,
A Great Big Pile Of Leaves,not_found,,,,
A Place For Owls,not_found,,,,
A Wilhelm Scream,followed,2302047,A Wilhelm Scream,https://goout.net/en/a-wilhelm-scream/pzwgiwf/,
A Winged Victory For The Sullen,followed,11550,A Winged Victory for the Sullen,https://goout.net/en/a-winged-victory-for-the-sullen/pzams/,
A Winged Victory For The Sullen & Adam Wiltzie,not_found,,,,
A.M. Overcast,not_found,,,,
A1 x J1 & wewantwraiths,not_found,,,,
A92 & AO,not_found,,,,
AFI,followed,2542042,DJ Aficionado,https://goout.net/en/dj-aficionado/pzrgrmg/,
AJ Tracey,followed,2378825,AJ Tracey,https://goout.net/en/aj-tracey/pzadgcg/,
AKAI SOLO,not_found,,,,
AKRIILA,not_found,,,,
ANOHNI,followed,2241558,Anohni and the Johnsons,https://goout.net/en/anohni-and-the-johnsons/pzimlsf/,
ARAI,followed,2234660,Arai,https://goout.net/en/arai/pzklasf/,
ASA MOTO,followed,2393597,Asa Moto,https://goout.net/en/asa-moto/pzwsedg/,
Aaron Dessner & Lauren Mayberry,not_found,,,,
Aaron West and The Roaring Twenties,not_found,,,,
Action/Adventure,not_found,,,,
Ada Lea,followed,2423780,Ada Lea,https://goout.net/en/ada-lea/pzfbdfg/,
Addison Rae,followed,2592466,Addison Rae,https://goout.net/en/addison-rae/pzqxwpg/,
Adeline Hotel,not_found,,,,
Adjust the Sails,not_found,,,,
Adjy,not_found,,,,
Adrianne Lenker,followed,2366274,Adrianne Lenker,https://goout.net/en/adrianne-lenker/pzyalbg/,
Adult Mom,followed,2466752,Adult Mom,https://goout.net/en/adult-mom/pzcuvhg/,
Adults,followed,2294152,Blawan,https://goout.net/en/blawan/pzcquvf/,
Adventures,followed,2241672,Adventures,https://goout.net/en/adventures/pzwqlsf/,
Aereogramme,not_found,,,,
Aerial East,not_found,,,,
Aesop Rock,not_found,,,,
Against Me!,followed,2208462,Against Me!,https://goout.net/en/against-me/pzmniqf/,
Agent Fresco,followed,2239211,Agent Fresco,https://goout.net/en/agent-fresco/pzlshsf/,
Agriculture,followed,2563128,Agriculture,https://goout.net/en/agriculture/pzdabog/,
Aitch,followed,2513260,Aitch,https://goout.net/en/aitch/pzkfvkg/,
Aitch & AJ Tracey,not_found,,,,
Aitch & Anne-Marie,not_found,,,,
Aitch & Avelino,not_found,,,,
Aitch & Bou,not_found,,,,
Aitch & Chimpo,not_found,,,,
Aitch & Kenzo Str8Drop,not_found,,,,
Aitch & Pozer,not_found,,,,
Aitch & Tamera,not_found,,,,
Aitch & Tiggs Da Author,not_found,,,,
Al Green,not_found,,,,
Alabama Shakes,not_found,,,,
Alan Sparhawk,followed,2589494,Alan Sparhawk,https://goout.net/en/alan-sparhawk/pztespg/,
Albert Hammond Jr,followed,20060,Albert Hammond Jr.,https://goout.net/en/albert-hammond-jr/pzkchb/,
Aldous Harding,followed,2258215,Aldous Harding,https://goout.net/en/aldous-harding/pzpdntf/,
Alek Olsen,not_found,,,,
Alessia Cara,followed,2587516,Alessia Cara,https://goout.net/en/alessia-cara/pzqappg/,
Alex G,followed,2320307,(Sandy) Alex G,https://goout.net/en/sandy-alex-g/pzhmmxf/,
Alex Warren,followed,2580450,Alex Warren,https://goout.net/en/alex-warren/pzasdpg/,
Alexandra Stréliski,followed,2413208,Alexandra Stréliski,https://goout.net/en/alexandra-streliski/pzidleg/,
Alexis Ffrench,followed,2442975,Alexis Ffrench,https://goout.net/en/alexis-ffrench/pzatigg/,
Alexisonfire,not_found,,,,
Algebra One,not_found,,,,
Algernon Cadwallader,not_found,,,,
Alien Boy,not_found,,,,
Alkaline Trio,not_found,,,,
All Get Out,followed,2315548,All Get Out,https://goout.net/en/all-get-out/pzxvexf/,
Allegra Krieger,not_found,,,,
Allstar JR,not_found,,,,
AlunaGeorge,followed,20770,AlunaGeorge,https://goout.net/en/alunageorge/pzufib/,
Alvvays,followed,2298539,Alvvays,https://goout.net/en/alvvays/pzoqcwf/,
Amaarae,followed,2465736,Amaarae,https://goout.net/en/amaarae/pzleuhg/,
Amber Mark,followed,2387985,Amber Mark,https://goout.net/en/amber-mark/pzktucg/,
Amen Dunes,followed,2317042,Amen Dunes,https://goout.net/en/amen-dunes/pzrghxf/,
